symbol,lonaName,shortName,Acronym,Sector,Announced Date,Due Date,Distribution Date,Amount,Distribution Way
4061,Anaam International Holding Group,ANAAM HOLDING,ANAAM HOLDING,Food & Staples Retailing,1987-05-12,1987-06-24,1987-07-25,2.5,Account Transfer
4061,Anaam International Holding Group,ANAAM HOLDING,ANAAM HOLDING,Food & Staples Retailing,1988-03-20,1988-06-25,1988-07-25,2.5,Account Transfer
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1995-02-28,1995-03-29,1995-04-29,5,By Mail
3020,Yamama Cement Co.,YSCC,YSCC,Materials,1996-02-07,1996-03-09,1996-03-11,37,By Mail
6010,National Agricultural Development Co.,NADEC,NADEC,Food & Beverages,1996-02-27,1996-02-26,1996-03-18,7,By Mail
3050,Southern Province Cement Co.,SPCC,SPCC,Materials,1996-03-05,1996-03-21,1996-04-13,30,By Mail
2020,SABIC Agri-Nutrients Co.,SABIC AGRI-NUTRIENTS,SABIC AGRI-NUTRIENTS,Materials,1996-03-06,1996-03-21,1996-04-04,50,By Mail
3080,Eastern Province Cement Co.,EPCCO,EPCCO,Materials,1996-03-06,1996-04-02,1996-04-08,35,By Mail
4100,Makkah Construction and Development Co.,MCDC,MCDC,"Real Estate Mgmt & Dev't",1996-03-06,1996-03-13,1996-04-15,7,By Mail
3040,Qassim Cement Co.,QACCO,QACCO,Materials,1996-03-09,1996-04-04,1996-04-13,30,By Mail
2090,National Gypsum Co.,NGC,NGC,Materials,1996-03-13,1996-03-13,1996-05-11,20,By Mail
2010,Saudi Basic Industries Corp.,SABIC,SABIC,Materials,1996-03-18,1996-03-28,1996-04-15,30,By Mail
3030,Saudi Cement Co.,SAUDI CEMENT,SAUDI CEMENT,Materials,1996-03-19,1996-04-14,1996-05-04,15,By Mail
4140,Saudi Industrial Export Co.,SIECO,SIECO,Capital Goods,1996-03-19,1996-03-31,1996-04-17,10,By Mail
2080,National Gas and Industrialization Co.,GASCO,GASCO,Utilities,1996-03-19,1996-05-12,1996-05-25,7,By Mail
2040,Saudi Ceramic Co.,SAUDI CERAMICS,SAUDI CERAMICS,Capital Goods,1996-04-01,1996-04-18,1996-05-07,20,By Mail
